HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"4106","0","Tanned or crust skins of other animals, without wool or hair on, whether or not split, but not further prepared:","","","","","",""
"","1","Of goats or kids:","","","","","",""
"4106.21","2","In the wet state (including wet-blue):","","","","","",""
"4106.21.10.00","3","Wet blues","[""m<sup>2<\/sup>""]","2.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4106.21.90.00","3","Other","[""m<sup>2<\/sup>""]","2.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4106.22.00.00","2","In the dry state (crust)","[""m<sup>2<\/sup>""]","2.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"","1","Of swine:","","","","","",""
"4106.31","2","In the wet state (including wet-blue):","","","","","",""
"4106.31.10.00","3","Wet blues","[""m<sup>2<\/sup>""]","4.2%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","25%","",""
"4106.31.90.00","3","Other","[""m<sup>2<\/sup>""]","4.2%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","25%","",""
"4106.32.00.00","2","In the dry state (crust)","[""m<sup>2<\/sup>""]","4.2%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","25%","",""
"4106.40.00.00","1","Of reptiles","[""m<sup>2<\/sup>""]","Free","","25%","",""
"","1","Other:","","","","","",""
"4106.91.00.00","2","In the wet state (including wet-blue)","[""m<sup>2<\/sup>""]","3.3%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","25%","",""
"4106.92.00.00","2","In the dry state (crust)","[""m<sup>2<\/sup>""]","3.3%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","25%","",""
"4107","0","Leather further prepared after tanning or crusting, including parchment-dressed leather, of bovine (including buffalo) or equine animals, without hair on, whether or not split, other than leather of heading 4114:","","","","","",""
"","1","Whole hides and skins:","","","","","",""
"4107.11","2","Full grains, unsplit:","","","","","",""
"","3","Of bovines, and of a unit surface area not exceeding 28 square feet (2.6 m<sup>2</sup>):","","","","","",""
"4107.11.10","4","Upper leather; lining leather","","Free","","15%","",""
"4107.11.10.20","5","Upper leather","[""m<sup>2<\/sup>""]","","","","",""
"4107.11.10.40","5","Lining leather","[""m<sup>2<\/sup>""]","","","","",""
"","4","Other:","","","","","",""
"4107.11.20.00","5","Not fancy","[""m<sup>2<\/sup>""]","2.4%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","15%","",""
"4107.11.30.00","5","Fancy","[""m<sup>2<\/sup>""]","3.6%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","30%","",""
"","3","Other:","","","","","",""
"4107.11.40.00","4","Buffalo","[""m<sup>2<\/sup>""]","2.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"","4","Other:","","","","","",""
"4107.11.50.00","5","Upholstery leather","[""m<sup>2<\/sup>""]","2.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"4107.11.60","5","Upper leather; sole leather","","3.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4107.11.60.10","6","Upper leather","[""m<sup>2<\/sup>""]","","","","",""
"4107.11.60.60","6","Sole leather","[""m<sup>2<\/sup>""]","","","","",""
"","5","Other:","","","","","",""
"4107.11.70","6","Not fancy","","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4107.11.70.30","7","Belting","[""m<sup>2<\/sup>""]","","","","",""
"4107.11.70.40","7","Glove and garment","[""m<sup>2<\/sup>""]","","","","",""
"4107.11.70.50","7","Bag, case, strap and collar","[""m<sup>2<\/sup>""]","","","","",""
"4107.11.70.90","7","Other","[""m<sup>2<\/sup>""]","","","","",""
"4107.11.80.00","6","Fancy","[""m<sup>2<\/sup>""]","2.4%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"4107.12","2","Grain splits:","","","","","",""
"","3","Of bovines, and of a unit surface area not exceeding 28 square feet (2.6 m<sup>2</sup>):","","","","","",""
"4107.12.10","4","Upper leather; lining leather","","Free","","15%","",""
"4107.12.10.20","5","Upper leather","[""m<sup>2<\/sup>""]","","","","",""
"4107.12.10.40","5","Lining leather","[""m<sup>2<\/sup>""]","","","","",""
"","4","Other:","","","","","",""
"4107.12.20.00","5","Not fancy","[""m<sup>2<\/sup>""]","2.4%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","15%","",""
"4107.12.30.00","5","Fancy","[""m<sup>2<\/sup>""]","3.6%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","30%","",""
"","3","Other:","","","","","",""
