HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"2101","0","Extracts, essences and concentrates, of coffee, tea or maté and preparations with a basis of these products or with a basis of coffee, tea or maté; roasted chicory and other roasted coffee substitutes, and extracts, essences and concentrates thereof:","","","","","",""
"","1","Extracts, essences and concentrates of coffee, and preparations with a basis of these extracts, essences or concentrates or with a basis of coffee:","","","","","",""
"2101.11","2","Extracts, essences and concentrates:","","","","","",""
"2101.11.21","3","Instant coffee, not flavored","","Free","","Free","",""
"","4","Not decaffeinated:","","","","","",""
"2101.11.21.26","5","Packaged for retail sale","[""kg""]","","","","",""
"2101.11.21.29","5","Other","[""kg""]","","","","",""
"","4","Decaffeinated:","","","","","",""
"2101.11.21.31","5","Packaged for retail sale","[""kg""]","","","","",""
"2101.11.21.39","5","Other","[""kg""]","","","","",""
"2101.11.29","3","Other","","Free","","Free","",""
"2101.11.29.41","4","Packaged for retail sale","[""kg""]","","","","",""
"2101.11.29.49","4","Other","[""kg""]","","","","",""
"2101.12","2","Preparations with a basis of extracts, essences or concentrates or with a basis of coffee:","","","","","",""
"2101.12.32.00","3","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","10%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"","3","Other:","","","","","",""
"","4","Blended syrups described in additional U.S. note 4 to chapter 17:","","","","","",""
"2101.12.34.00","5","Described in additional U.S. note 9 to chapter 17 and entered pursuant to its provisions","[""kg""]","10%","Free (CO,KR,OM,PA,PE,S)","20%","",""
"2101.12.38.00","5","Other","[""kg""]","30.5¢/kg + 8.5%","Free (BH,CL,JO,KR,OM,SG) See 9822.05.20 (P+) See 9822.06.10 (PE) See 9822.08.01 (CO) See 9822.09.17 (PA) See 9823.10.01-9823.10.45 (S+) See 9822.03.01(MA)","35.9¢/kg + 10%","",""
"","4","Articles containing over 65 percent by dry weight of sugar described in additional U.S. note 2 to chapter 17:","","","","","",""
"2101.12.44.00","5","Described in additional U.S. note 7 to chapter 17 and entered pursuant to its provisions","[""kg""]","10%","Free (CO,KR,OM,PA,PE,S)","20%","",""
"2101.12.48.00","5","Other","[""kg""]","30.5¢/kg + 8.5%","Free (BH,CL,JO,KR,OM,SG) See 9822.05.20 (P+) See 9822.06.10 (PE) See 9822.08.01 (CO) See 9822.09.17 (PA) See 9823.10.01-9823.10.45 (S+) See 9822.03.01(MA)","35.9¢/kg + 10%","",""
"","4","Articles containing over 10 percent by dry weight of sugar described in additional U.S. note 3 to chapter 17:","","","","","",""
"2101.12.54.00","5","Described in additional U.S. note 8 to chapter 17 and entered pursuant to its provisions","[""kg""]","10%","Free (A,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"2101.12.58.00","5","Other","[""kg""]","30.5¢/kg + 8.5%","Free (BH,CL,JO,KR,OM,SG) See 9822.05.20 (P+) See 9822.06.10 (PE) See 9822.08.01 (CO) See 9822.09.17 (PA) See 9823.10.01-9823.10.45 (S+) See 9822.03.01(MA)","35.9¢/kg + 10%","",""
"2101.12.90.00","4","Other","[""kg""]","8.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"2101.20","1","Extracts, essences and concentrates, of tea or maté, and preparations with a basis of these extracts, essences or concentrates or with a basis of tea or maté:","","","","","",""
"2101.20.20","2","Extracts, essences and concentrates","","Free","","10%","",""
"2101.20.20.10","3","Instant tea","[""kg""]","","","","",""
"2101.20.20.90","3","Other","[""kg""]","","","","",""
"","2","Other:","","","","","",""
"2101.20.32.00","3","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","10%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"","3","Other:","","","","","",""
"","4","Blended syrups described in additional U.S. note 4 to chapter 17:","","","","","",""
"2101.20.34.00","5","Described in additional U.S. note 9 to chapter 17 and entered pursuant to its provisions","[""kg""]","10%","Free (CO,KR,OM,PA,PE,S)","20%","",""
"2101.20.38.00","5","Other","[""kg""]","30.5¢/kg + 8.5%","Free (BH,CL,JO,KR,OM,SG) See 9822.05.20 (P+) See 9822.06.10 (PE) See 9822.08.01 (CO) See 9822.09.17 (PA) See 9823.10.01-9823.10.45 (S+) See 9822.03.01(MA)","35.9¢/kg + 10%","",""
"","4","Articles containing over 65 percent by dry weight of sugar described in additional U.S. note 2 to chapter 17:","","","","","",""
"2101.20.44.00","5","Described in additional U.S. note 7 to chapter 17 and entered pursuant to its provisions","[""kg""]","10%","Free (CO,KR,OM,PA,PE,S)","20%","",""
"2101.20.48.00","5","Other","[""kg""]","30.5¢/kg + 8.5%","Free (BH,CL,JO,KR,OM,SG) See 9822.05.20 (P+) See 9822.06.10 (PE) See 9822.08.01 (CO) See 9822.09.17 (PA) See 9823.10.01-9823.10.45 (S+) See 9822.03.01(MA)","35.9¢/kg + 10%","",""
"","4","Articles containing over 10 percent by dry weight of sugar described in additional U.S. note 3 to chapter 17:","","","","","",""
"2101.20.54.00","5","Described in additional U.S. note 8 to chapter 17 and entered pursuant to its provisions","[""kg""]","10%","Free (A*,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"2101.20.58.00","5","Other","[""kg""]","30.5¢/kg + 8.5%","Free (BH,CL,JO,KR,OM,SG) See 9822.05.20 (P+) See 9822.06.10 (PE) See 9822.08.01 (CO) See 9822.09.17 (PA) See 9823.10.01-9823.10.45 (S+) See 9822.03.01(MA)","35.9¢/kg + 10%","",""
"2101.20.90.00","4","Other","[""kg""]","8.5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"2101.30.00.00","1","Roasted chicory and other roasted coffee substitutes and extracts, essences and concentrates thereof","[""kg""]","2.1¢/kg","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","6.6¢/kg","",""
"2102","0","Yeasts (active or inactive); other single-cell microorganisms, dead (but not including vaccines of heading 3002); prepared baking powders:","","","","","",""
"2102.10.00.00","1","Active yeasts","[""kg""]","6.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"2102.20","1","Inactive yeasts; other single-cell microorganisms, dead:","","","","","",""
"2102.20.20.00","2","Yeasts (except dried brewers' yeast)","[""kg""]","6.4%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"2102.20.40.00","2","Dried brewers' yeast, crude","[""kg""]","Free","","Free","",""
"2102.20.60.00","2","Other","[""kg""]","3.2%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"2102.30.00.00","1","Prepared baking powders","[""kg""]","Free","","25%","",""
"2103","0","Sauces and preparations therefore; mixed condiments and mixed seasonings; mustard flour and meal and prepared mustard:","","","","","",""
"2103.10.00.00","1","Soy sauce","[""kg""]","3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,JP,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"2103.20","1","Tomato ketchup and other tomato sauces:","","","","","",""
"2103.20.20.00","2","Tomato ketchup","[""kg""]","6%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"2103.20.40","2","Other","","11.6%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"2103.20.40.20","3","In containers holding less than 1.4 kg","[""kg""]","","","","",""
"2103.20.40.40","3","Other","[""kg""]","","","","",""
"2103.30","1","Mustard flour and meal and prepared mustard:","","","","","",""
"2103.30.20.00","2","Mustard flour and meal","[""kg""]","Free","","22¢/kg","",""
"2103.30.40.00","2","Prepared mustard","[""kg""]","2.8¢/kg","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","22¢/kg","",""
"2103.90","1","Other:","","","","","",""
"2103.90.20.00","2","Sauces derived or prepared from fish","[""kg""]","Free","","30%","",""
"2103.90.40.00","2","Nonalcoholic preparations of yeast extract (other than sauces)","[""kg""]","3.2%","Free (A,AU,BH,CL,CO,D,E,IL,JO,JP,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"","2","Other:","","","","","",""
"","3","Mixed condiments and mixed seasonings:","","","","","",""
"","4","Mixed condiments and mixed seasonings described in additional U.S. note 3 to this chapter:","","","","","",""
"2103.90.72.00","5","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","7.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) 3.75% (JP)","35%","",""
"2103.90.74.00","5","Described in additional U.S. note 4 to this chapter and entered pursuant to its provisions","[""kg""]","7.5%","Free (A,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"2103.90.78.00","5","Other","[""kg""]","30.5¢/kg + 6.4%","Free (BH,CL,JO,KR,OM,SG) See 9822.05.20 (P+) See 9822.06.10 (PE) See 9822.08.01 (CO) See 9822.09.17 (PA) See 9823.10.01-9823.10.45 (S+) See 9822.03.01(MA)","35.9¢/kg + 7.5%","",""
"2103.90.80.00","4","Other","[""kg""]","6.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"2103.90.90","3","Other","","6.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
